2010-04-15,2010-08-15,2010-09-15,2010-12-01,2010-06-15,2010-10-15,2010-03-01,2010-11-01,2010-09-01,2010-06-01,2010-04-01,2010-12-15,2010-02-15,2010-05-01,2010-01-15,2010-10-01,2010-07-15,2010-05-15,2010-07-01,2010-03-15,2010-11-15,2010-08-01,2010-02-01,2011-02-15,2011-01-15,2011-01-01,2011-09-01,2011-05-01,2011-10-15,2011-06-15,2011-02-01,2011-04-01,2011-11-01,2011-04-15,2011-11-15,2011-07-15,2011-08-01,2011-10-01,2011-06-01,2011-12-15,2011-07-01,2011-03-01,2011-12-01,2011-08-15,2011-09-15,2011-03-15,2012-05-15,2012-02-01,2012-07-15,2012-10-01,2012-11-15,2012-09-15,2012-04-15,2012-05-01,2012-12-01,2012-07-01,2012-01-01,2012-09-01,2012-03-01,2012-08-01,2012-10-15,2012-06-15,2012-06-01,2012-08-15,2012-02-15,2012-04-01,2012-01-15,2012-03-15,2012-11-01,2013-05-15,2013-10-15,2013-03-15,2013-12-01,2013-11-15,2013-04-01,2013-10-01,2013-11-01,2013-08-01,2013-02-15,2013-09-15,2013-01-15,2013-07-15,2013-03-01,2013-02-01,2013-08-15,2013-06-15,2013-12-15,2013-01-01,2013-05-01,2013-04-15,2013-07-01,2013-06-01,2014-08-01,2014-02-15,2014-11-15,2014-06-01,2014-05-15,2014-02-01,2014-12-01,2014-03-01,2014-07-01,2014-05-01,2014-12-15,2014-09-01,2014-07-15,2014-08-15,2014-03-15,2014-04-15,2014-01-15,2014-01-01,2014-09-15,2014-06-15,2014-10-15,2014-11-01,2014-10-01,2015-04-01,2015-03-01,2015-07-15,2015-11-01,2015-05-01,2015-09-01,2015-09-15,2015-01-15,2015-07-01,2015-12-01,2015-02-15,2015-08-15,2015-08-01,2015-12-15,2015-02-01,2015-04-15,2015-10-15,2015-03-15,2015-10-01,2015-06-15,2015-11-15,2015-01-01,2015-06-01,2016-10-01,2016-04-15,2016-02-01,2016-01-01,2016-10-15,2016-03-15,2016-03-01,2016-06-01,2016-11-01,2016-09-01,2016-12-01,2016-11-15,2016-08-01,2016-07-15,2016-05-15,2016-09-15,2016-08-15,2016-05-01,2016-12-15,2016-06-15,2016-01-15,2016-02-15,2016-07-01,2017-04-15,2017-02-01,2017-11-01,2017-07-01,2017-02-15,2017-01-15,2017-11-15,2017-03-01,2017-08-01,2017-12-01,2017-06-01,2017-12-15,2017-05-15,2017-08-15,2017-09-01,2017-10-01,2017-01-01,2017-09-15,2017-06-15,2017-07-15,2017-10-15,2017-04-01,2017-05-01,2018-08-01,2018-06-15,2018-03-15,2018-01-15,2018-01-01,2018-10-01,2018-11-01,2018-03-01,2018-05-01,2018-07-15,2018-12-01,2018-02-01,2018-04-15,2018-04-01,2018-06-01,2018-12-15,2018-09-01,2018-11-15,2018-02-15,2018-08-15,2018-07-01,2018-05-15,2018-09-15,2019-11-01,2019-09-15,2019-12-01,2019-01-15,2019-04-15,2019-08-15,2019-11-15,2019-01-01,2019-04-01,2019-06-15,2019-03-15,2019-05-01,2019-09-01,2019-07-15,2019-02-01,2019-12-15,2019-10-01,2019-05-15,2019-02-15,2019-10-15,2019-03-01,2019-08-01,2019-07-01,2020-05-15,2020-02-01,2020-01-15,2020-03-15,2020-07-01,2020-06-01,2020-07-15,2020-04-01,2020-04-15,2020-09-01,2020-02-15,2020-03-01,2020-08-01,2020-06-15,2020-01-01,2020-05-01,2020-08-15,2020-09-15
5.4632926,5.4632926,5.4632926,5.4632926,5.4632926,5.4632926,5.4632926,5.4632926,5.4632926,5.4632926,5.4632926,5.4632926,5.4632926,5.4632926,5.4632926,5.4632926,5.4632926,5.4632926,5.4632926,5.4632926,5.4632926,5.4632926,5.4632926,5.4632926,5.4632926,5.4632926,5.463293,5.465586,4.1052923,5.4874425,5.4632926,5.4633036,4.917968,5.4635177,4.5337987,5.4689865,5.463861,4.672326,5.4821415,5.2258477,5.4799433,5.4632926,4.647462,5.463327,5.4632926,5.4632926,5.4632926,5.4632926,5.4632926,4.7171664,5.4632926,5.4632926,5.4632926,5.4632926,5.4632926,5.4632926,5.4632926,5.4632926,5.4632926,4.8699183,3.9606993,5.4632926,5.4632926,4.811358,5.4632926,5.048366,5.4632926,5.4632926,4.90711,5.4632926,5.4666204,5.4632926,5.463295,5.463356,5.4632926,5.4666204,5.464798,5.466503,5.4632926,5.4666204,5.4632926,5.46344,5.4632926,5.4632926,5.4668465,5.4632926,5.4632926,5.4632926,5.4632926,5.4632926,5.463298,5.4632926,5.4632926,5.4632926,4.9840813,5.4632926,5.4632926,5.4632926,5.4100666,5.4632926,5.4632926,2.6896899,5.4632926,5.4632926,5.4632926,5.4632926,5.4632926,3.2037823,5.4632926,5.4632926,5.4632926,5.4632926,5.4632926,5.4632926,5.4632926,5.3742404,5.4679217,4.4893417,5.0012736,5.438216,4.3030095,4.040446,5.4632945,4.3574924,4.781919,5.465237,4.1320705,4.9549184,3.9324155,5.463406,5.4145393,4.4493594,5.4704747,4.034578,4.630162,4.7290506,5.4632926,4.916738,3.7664177,3.3669863,5.1429205,3.5838773,4.1711845,4.7964635,4.6852074,2.812305,3.6906781,4.0627165,3.7356482,3.4415908,4.5116873,3.7081718,2.7957642,2.7068074,4.409641,3.7238915,3.2654653,2.7918293,3.7099338,4.993921,2.7354124,2.2637408,3.3682737,4.701507,4.2030354,3.367653,3.3458467,4.914874,2.9616153,4.0753837,4.5547624,1.0622369,5.0443053,1.8039091,3.132973,3.5569186,4.0714064,3.340852,3.2785575,1.6396413,4.406869,4.37569,1.9333218,1.769766,3.5140018,3.4239876,3.6619647,4.000867,4.3004785,4.1994963,5.286057,5.1669703,2.7195868,4.0877037,4.8010125,4.282801,2.9302957,3.3068929,2.3895981,3.8383644,4.446542,5.360007,4.770889,3.9990425,4.1676087,2.5868924,4.5557847,4.5854015,3.9266655,5.159705,3.9048493,3.2593384,4.645334,5.1790586,3.5158963,4.041634,3.197789,3.9821575,1.8724086,4.1266813,4.422419,4.606353,5.080711,3.8589897,1.7944431,5.2127995,3.5763712,2.3603432,4.633799,4.218479,2.442298,5.311349,5.150806,5.4698887,4.3185396,2.2101667,4.48775,5.471667,5.4353456,4.129195,5.333008,5.4579105,3.873763,3.1917794,4.6156235,5.3816633,3.6853616,3.4520135
43.695244,42.039997,41.56637,42.30715,43.691048,43.753418,44.321457,42.049545,41.56634,43.914425,44.13049,42.94322,44.322716,43.286087,44.322777,41.56637,41.924088,43.65143,42.017006,44.304607,42.361015,41.54037,44.322777,44.844845,44.54182,43.08193,43.315125,44.66229,43.319458,43.2765,44.582905,44.80763,43.35837,44.68828,43.492416,43.43885,42.95762,43.319458,41.80281,43.31946,41.9672,44.883694,43.319458,43.220764,44.48113,44.795128,41.566105,43.36456,42.12641,41.440025,41.69826,41.507748,42.302563,41.56636,41.972095,41.72152,43.319546,42.85132,44.20132,41.843243,42.209286,41.87736,41.552864,41.391644,43.589855,43.694347,43.321632,44.540905,41.87335,42.486076,42.516838,43.869827,42.13413,42.13537,42.707005,42.29192,41.956413,40.723488,43.77391,42.124474,41.600807,42.173256,44.073788,43.043545,40.98929,42.135735,42.044945,41.912376,43.055744,41.682495,41.685932,42.779526,40.80531,43.8598,43.168743,42.4511,42.77066,43.7338,42.275856,43.04056,40.931736,42.788555,42.584698,42.213844,40.90915,41.227116,42.763546,42.789066,42.740932,43.173416,42.61129,41.080875,43.266376,43.405174,43.221943,41.71599,43.034904,41.97846,42.514107,42.07676,43.342297,42.769756,42.2218,41.646355,42.394577,42.805622,42.50189,42.237965,42.168102,42.737156,42.62632,41.74491,42.876568,42.645027,42.022194,42.485104,42.60414,42.21014,41.727184,42.278873,41.74923,42.282326,41.76108,42.593033,42.30509,41.726555,42.023636,42.05904,42.12412,42.258793,41.80663,41.878895,42.0963,42.05486,41.98301,42.073315,41.169315,42.115055,41.712715,42.70649,42.37106,42.312466,41.91855,43.747665,41.066277,41.501907,41.617767,43.182674,41.62991,43.25761,42.988873,41.049187,43.358624,41.371105,41.82709,41.62523,42.233814,41.30869,41.915096,41.538864,41.532646,42.30597,42.029182,41.6815,42.576355,41.75137,42.97823,43.79182,43.818146,42.340714,43.295963,43.834637,41.941666,42.045994,42.430172,43.33375,41.568443,42.09072,42.008896,41.96368,41.790066,43.212563,43.56224,43.03692,42.629448,42.146084,41.393745,42.242428,41.761593,42.87078,42.44997,41.75441,41.697567,42.37783,41.776382,42.142143,41.083424,42.21562,41.266926,40.801647,42.110683,42.984882,43.346268,43.36593,41.55977,42.64473,42.539604,42.366047,42.221016,41.909523,42.096096,42.15069,42.023533,43.637367,42.744335,41.88727,44.420128,43.684296,43.218563,42.23611,42.70258,43.56976,42.74294,41.882217,42.055767,42.080193,42.233994,42.277843
38.231953,36.576706,36.103077,36.84386,38.227757,38.290127,38.858166,36.586254,36.10305,38.451134,38.6672,37.479927,38.859425,37.822796,38.859486,36.103077,36.460796,38.188137,36.553715,38.841316,36.897724,36.07708,38.859486,39.381554,39.07853,37.618637,37.85183,39.1967,39.214165,37.78906,39.119614,39.344326,38.440403,39.224762,38.95862,37.969864,37.49376,38.647133,36.32067,38.093613,36.48726,39.420403,38.671997,37.75744,39.017838,39.331837,36.102814,37.901268,36.66312,36.72286,36.23497,36.044456,36.83927,36.10307,36.508804,36.25823,37.856255,37.388027,38.73803,36.973324,38.248585,36.41407,36.089573,36.580284,38.126564,38.64598,37.85834,39.077614,36.96624,37.022785,37.050217,38.406536,36.670834,36.672012,37.243713,36.8253,36.491615,35.256985,38.31062,36.657852,36.137516,36.709816,38.610497,37.580254,35.52244,36.672443,36.581654,36.449085,37.592453,36.219204,36.222633,37.316235,35.34202,38.396507,38.18466,36.98781,37.30737,38.270508,36.86579,37.57727,35.468445,40.098866,37.121407,36.750553,35.445858,35.763824,37.300255,39.585285,37.27764,37.710125,37.148,35.617584,37.803085,37.941883,37.75865,36.341747,37.566982,37.489117,37.512833,36.638542,39.039288,38.72931,36.758507,37.288864,37.61266,37.340385,38.36982,37.283047,38.235687,37.27375,37.21178,37.29555,37.406094,38.61045,37.392033,37.756054,37.14085,37.293404,37.960766,38.91189,36.606308,38.69845,37.589897,37.79657,37.619884,38.91425,38.33296,37.996323,38.38847,38.817204,37.29494,38.170723,39.300533,39.348053,37.573368,38.349422,37.90385,39.323227,38.00278,37.71257,39.635647,40.048725,38.550274,39.046158,36.863243,38.134254,38.27192,38.2678,38.668293,39.182228,38.43411,39.98695,38.31432,39.567196,38.69412,38.06831,38.162407,37.96784,38.63654,39.899223,37.12578,37.93028,40.09586,39.91173,39.062355,38.32738,39.316265,39.790955,39.517666,38.141216,38.009907,38.667667,39.22208,37.95829,37.629158,39.05095,38.63815,38.78383,39.619297,38.125317,37.343525,37.852554,38.79135,39.037876,38.461838,39.559193,36.83796,37.65703,37.834927,37.711075,38.54512,38.49507,37.052235,37.198772,38.260487,38.10051,37.885635,38.23346,39.394516,36.674965,37.688263,38.37853,38.265556,39.50694,39.765327,37.43193,38.963234,40.005703,37.587215,37.691044,39.653797,36.83934,36.872726,38.16748,38.425797,39.677105,39.932377,38.212627,37.78322,38.106915,37.36957,38.111847,38.869175,38.690437,37.440144,36.69853,38.548634,38.82583
